web-scraper-order,web-scraper-start-url,Title,Date,Rating,Verified,Review
1587555567-1232,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love these shoes for walking,"Reviewed in the United States on September 19, 2019",5.0 out of 5 stars,Verified Purchase,I have walked miles upon miles in these shoes and love them. You want to wear on flat surfaces as you can feel rocks and debris if not.
1587555567-3525,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Perfect for standing and wider feet,"Reviewed in the United States on May 25, 2019",5.0 out of 5 stars,null,"I work ten hours a day by standing all those ten hours and these shoes are perfect, my feet dont hurt as badly, and these shoes fit perfectly for my wide feet. The soles are heaven and so soft. My feet are happy"
1587555567-3097,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Returning them,"Reviewed in the United States on January 5, 2020",1.0 out of 5 stars,Verified Purchase,Too large.
1587555567-504,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Fits narrow.,"Reviewed in the United States on September 29, 2019",4.0 out of 5 stars,Verified Purchase,I have this exact shoe in 3 colors. I ordered just 9 1/2 not narrow- not wide but still they fit so much more narrow than my other two pair.
1587555567-1430,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love them!,"Reviewed in the United States on February 7, 2020",5.0 out of 5 stars,Verified Purchase,Love these shoes! So comfortable!
1587555567-2224,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Cute and lightweight,"Reviewed in the United States on May 4, 2019",4.0 out of 5 stars,Verified Purchase,Very lightweight don’t have a ton of support but good for just weekend wear
1587555567-2505,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Light weight,"Reviewed in the United States on July 25, 2019",5.0 out of 5 stars,Verified Purchase,Comfortable
1587555567-1544,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Awesome!!!,"Reviewed in the United States on October 27, 2019",5.0 out of 5 stars,Verified Purchase,Love them....
1587555567-2401,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love them!,"Reviewed in the United States on December 4, 2019",5.0 out of 5 stars,Verified Purchase,Great shoes. I use these for work as I am a nurse and am on my feet all day. I love them!
1587555567-1649,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Best shoe I’ve ever owned,"Reviewed in the United States on July 30, 2019",5.0 out of 5 stars,Verified Purchase,"Love this shoe!  Lightweight, comfortable."
1587555567-1081,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,♥️,"Reviewed in the United States on March 6, 2019",5.0 out of 5 stars,Verified Purchase,So light! I thought I just got sent the shoe box! Very comfortable to boot! Worth it!
1587555567-2914,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Support,"Reviewed in the United States on December 5, 2019",2.0 out of 5 stars,Verified Purchase,There is no support whatsoever. Not made for running.
1587555567-783,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Lightweight and fit wide feet,"Reviewed in the United States on December 29, 2019",5.0 out of 5 stars,Verified Purchase,Purchased for my 70yo mother. Lightweight and great for her wide feet. Easy to put on and very comfortable- she loves them!
1587555567-1022,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love this shoes,"Reviewed in the United States on December 10, 2019",5.0 out of 5 stars,Verified Purchase,Want to buy another colors too!
1587555567-1001,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,very comfy,"Reviewed in the United States on September 30, 2019",5.0 out of 5 stars,Verified Purchase,"These shoes are very comfy, great for on your feet all day!"
1587555567-3081,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,No shoe “tongue” to pull when you tighten & tie- get actual size not larger,"Reviewed in the United States on December 25, 2019",5.0 out of 5 stars,Verified Purchase,They are lightweight and very comfortable.
1587555567-2679,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love them!,"Reviewed in the United States on February 9, 2020",5.0 out of 5 stars,Verified Purchase,Love these shoes. Will purchase over and over again!
1587555567-3215,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Fit perfect,"Reviewed in the United States on February 23, 2020",5.0 out of 5 stars,Verified Purchase,Love them
1587555567-3262,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great fit,"Reviewed in the United States on December 27, 2019",5.0 out of 5 stars,Verified Purchase,Very comfortable
1587555567-1947,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Buy them,"Reviewed in the United States on March 21, 2020",5.0 out of 5 stars,Verified Purchase,"Great shoes, super light and super cute! Fit as expected."
1587555567-3111,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Cheaper than at the store,"Reviewed in the United States on December 29, 2019",5.0 out of 5 stars,Verified Purchase,Love them!
1587555567-2301,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Size is as expected .,"Reviewed in the United States on March 18, 2020",5.0 out of 5 stars,Verified Purchase,Great quality and very comfortable shoe. I will be ordering more colors in the same shoe .
1587555567-724,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Run size to large,"Reviewed in the United States on February 5, 2019",4.0 out of 5 stars,Verified Purchase,"Thsee are nice, slip on sneakers but runs size to large. I normally wear 8 but had to return and order 7. But are very comfortable and easy to put on"
1587555567-196,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love! Very comfy!,"Reviewed in the United States on March 10, 2020",5.0 out of 5 stars,Verified Purchase,"Like all Adidas, make sure to order half size smaller. These are very light and comfy. Used them on long walking trips around Ireland and on the tennis court. Easy slip on and off as there's no actual tongue, just laces to get them tight on your feet."
1587555567-1039,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great for comfort,"Reviewed in the United States on November 18, 2018",5.0 out of 5 stars,Verified Purchase,"Ordered a half size down and they fit perfect! Extremely comfortable to wear all day, but not very supportive for working out, or running."
1587555567-916,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Super comfy,"Reviewed in the United States on January 20, 2020",5.0 out of 5 stars,Verified Purchase,"Super soft, best sneaker out of ten I tried"
1587555567-436,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Super Comfortable,"Reviewed in the United States on September 18, 2019",5.0 out of 5 stars,Verified Purchase,This is the second pair of these exact sneakers that I have purchased and I love them. I wore the first pair done to the bitter end and needed a pair to travel abroad. These are comfortable and light weight and don’t take up room in your luggage.
1587555567-348,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Favorite tennis shoe!,"Reviewed in the United States on June 5, 2019",5.0 out of 5 stars,Verified Purchase,These are my favorite tennis shoes ever. They are light weight and they slip on easily. They are great for working out or daily wear. Very comfortable and they look great. I’ve bought two pairs so far and will buy more soon!
1587555567-2400,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great shoes!,"Reviewed in the United States on September 20, 2019",5.0 out of 5 stars,Verified Purchase,So comfy!!!
1587555567-599,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Disappointment,"Reviewed in the United States on December 4, 2019",1.0 out of 5 stars,Verified Purchase,"I ordered this product for my mom, as I owned a pair and she liked them. We received our order today and the product is used and damaged. I am incredibly disappointed.  I had to give one star because I couldn't submit my review without adding a star."
1587555567-1291,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable and cute!!,"Reviewed in the United States on August 2, 2019",5.0 out of 5 stars,Verified Purchase,Lightweight and super cute!
1587555567-2570,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great,"Reviewed in the United States on February 3, 2020",5.0 out of 5 stars,Verified Purchase,They are really comfortable and easy to get on. They were a great price to. I love these shoes
1587555567-3049,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,So comfortable!!,"Reviewed in the United States on March 15, 2019",5.0 out of 5 stars,Verified Purchase,"I LOVE these shoes!! I needed a nice pair of black tennis shoes, and these are PERFECT!! So comfortable and cute!"
1587555567-3117,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,This id announced as a running shoe but it is not. It is a training shoe.,"Reviewed in the United States on February 8, 2020",1.0 out of 5 stars,Verified Purchase,This is not a running shoe.
1587555567-2093,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfort,"Reviewed in the United States on March 11, 2020",5.0 out of 5 stars,Verified Purchase,I love these shoes. I have two pair and they are by far the best everyday tennis shoe. I’m on my feet all day and these are like walking on clouds.
1587555567-3100,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfy,"Reviewed in the United States on March 12, 2020",5.0 out of 5 stars,Verified Purchase,So comfy
1587555567-2010,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Super Comfy!,"Reviewed in the United States on February 27, 2020",5.0 out of 5 stars,Verified Purchase,Very comfortable and fit perfect.
1587555567-1205,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable!,"Reviewed in the United States on October 1, 2019",5.0 out of 5 stars,Verified Purchase,Comfortable. Sleek. Light. Receive many compliments.
1587555567-3438,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Five Stars,"Reviewed in the United States on March 27, 2018",5.0 out of 5 stars,Verified Purchase,Love these shoes!!
1587555567-1146,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great for feet,"Reviewed in the United States on March 2, 2020",5.0 out of 5 stars,Verified Purchase,Good for 14 hr shifts on your feet. Cloth like top.
1587555567-1056,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,This shoe doesn't have a tongue and it runs 2 sizes too small!,"Reviewed in the United States on November 13, 2019",1.0 out of 5 stars,Verified Purchase,The shoe doesn't run true to size AT ALL. It is two sizes too small and there is not tongue. It's hard to even get your fit in it at all! Weird.
1587555567-2294,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love them!,"Reviewed in the United States on September 25, 2019",5.0 out of 5 stars,Verified Purchase,"Love these, super cute and comfy!"
1587555567-2639,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great gym shoe!!,"Reviewed in the United States on January 19, 2020",5.0 out of 5 stars,Verified Purchase,It was a gift for my sister and she loved them!!
1587555567-572,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Way too large,"Reviewed in the United States on February 21, 2020",4.0 out of 5 stars,Verified Purchase,Too large and left a gap around my ankle. I order a size down. We'll see if it's any better.
1587555567-3172,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,soo good,"Reviewed in the United States on December 28, 2019",5.0 out of 5 stars,Verified Purchase,so good thank u
1587555567-896,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great lightweight running shoes,"Reviewed in the United States on January 12, 2020",5.0 out of 5 stars,Verified Purchase,These are my FAVORITE sneakers for running! They are super lightweight and fit perfectly.
1587555567-860,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Cute but no support,"Reviewed in the United States on December 5, 2019",3.0 out of 5 stars,Verified Purchase,"This shoe is very cute and I have gotten a lot of compliments on it so far. Unfortunately, I will be returning these since they have no arch support. I felt like I was walking right on the ground. If you have zero foot/ankle issues, then I think you would maybe be ok trading comfort for the look of the shoe."
1587555567-1651,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Outfit type shoes than working out shoes,"Reviewed in the United States on January 7, 2019",5.0 out of 5 stars,Verified Purchase,"My wife’s like it. However,  If you are planning on wearing them for working out I will not recommend it."
1587555567-1179,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,LOVE THEN!!,"Reviewed in the United States on December 29, 2019",5.0 out of 5 stars,Verified Purchase,Oh wow! They are light weight and oh so comfy!!!
1587555567-850,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Cloud foam,"Reviewed in the United States on January 29, 2020",5.0 out of 5 stars,Verified Purchase,I seriously love these shoes. The price is great and they’re so easy to slip right on for the gym.
1587555567-3314,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Super fast shipping,"Reviewed in the United States on October 1, 2018",5.0 out of 5 stars,Verified Purchase,As described super fast shipping 😄
1587555567-3447,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Five Stars,"Reviewed in the United States on September 23, 2018",5.0 out of 5 stars,Verified Purchase,Fantastic
1587555567-2011,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Super comfortable,"Reviewed in the United States on October 4, 2018",5.0 out of 5 stars,Verified Purchase,"Very comfortable, and breathable."
1587555567-855,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Cute,"Reviewed in the United States on January 17, 2020",5.0 out of 5 stars,Verified Purchase,"Cute and comfy.
They don’t tie up your foot slips in."
1587555567-2519,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,LOVE!,"Reviewed in the United States on June 27, 2019",5.0 out of 5 stars,Verified Purchase,I love the looks of this shoe. They fit great and are light weight. I receive compliments on them all the time.
1587555567-2469,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Horrible,"Reviewed in the United States on December 14, 2019",1.0 out of 5 stars,Verified Purchase,Shoes were SO filthy and obviously VERY worn.  I gave these as a gift and was totally embarrassed when they opened them.
1587555567-2741,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Soooo comfortable!!,"Reviewed in the United States on January 23, 2019",5.0 out of 5 stars,Verified Purchase,Great shoes!!
1587555567-934,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Know Your Size,"Reviewed in the United States on May 6, 2019",5.0 out of 5 stars,Verified Purchase,I wear a 6.5 in Adidas (7-7.5 in other brands) so make sure you know your size before ordering. The price was fair (and less) than box stores. Quick arrival. Super cute shoe and comfortable
1587555567-169,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,The upper tongue is too stiff,"Reviewed in the United States on January 15, 2020",2.0 out of 5 stars,Verified Purchase,I like these. Visually they're nice and not bulky. Size I think is about right. The one thing I can't take is the tongue of the shoe is so stiff and it's attached to the upper so you can't move it like a typical shoe tongue.  It cuts into my shin/ankle and I can't take it. I even wore high socks which looked bad. I would not run in these but for day to day errands they would work if the tongue wasn't so stiff.
1587555567-740,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Awesome Adidas,"Reviewed in the United States on July 13, 2019",5.0 out of 5 stars,Verified Purchase,Purchased these in light grey with white stripes. The look awesome and are super comfy. Highly recommended!!
1587555567-482,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great Tennis Shoes,"Reviewed in the United States on January 4, 2020",5.0 out of 5 stars,Verified Purchase,Awesome shoes!  Love the style and comfortable fit.  These shoes are light and feel like your walking on air!  Great purchase.
1587555567-1224,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Adidas Cloudfoam,"Reviewed in the United States on December 15, 2019",5.0 out of 5 stars,Verified Purchase,Love these!
1587555567-704,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,I reccomend!,"Reviewed in the United States on March 18, 2019",5.0 out of 5 stars,Verified Purchase,True to size & very comfortable. I would definitely recommend!
1587555567-888,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,PerfecT,"Reviewed in the United States on February 4, 2020",5.0 out of 5 stars,Verified Purchase,Light weight and perfect for running.
1587555567-723,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,A must-have!!,"Reviewed in the United States on October 31, 2019",5.0 out of 5 stars,Verified Purchase,My favorite shoes!! These are so comfy and match with everything!! Everyone needs this pair of shoes in their closet!
1587555567-2389,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfort while standing,"Reviewed in the United States on February 5, 2020",4.0 out of 5 stars,Verified Purchase,Good shoe little larger than expected
1587555567-2787,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,If u like Adidas u will like these,"Reviewed in the United States on September 19, 2018",4.0 out of 5 stars,Verified Purchase,If u like Adidas u will like these. Got black though 99% sure and they are more of a dark grey color
1587555567-3233,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Me gusta la zapatilla,"Reviewed in the United States on January 3, 2019",5.0 out of 5 stars,Verified Purchase,Todo bien
1587555567-1573,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great price,"Reviewed in the United States on February 25, 2020",4.0 out of 5 stars,Verified Purchase,Very comfy. Slightly bigger than my normal fit though.
